Chip Run Info,D:\Edoardo\1361334043edoardo_hl60_vinc_3nM_mock_vs_48h\ChipRun.bml,1361334043,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,4/24/2016 8:26:16 PM,00:51:17,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A35,mock_high,Unknown,1,GAPDH,Test,8.1132835446225,-1,1,Pass,0.0222468576534276,87.9064724234793,999,1,ok
S06-A36,mock_high,Unknown,1,APCDD1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A37,mock_high,Unknown,1,WNK1,Test,14.2528064307483,-1,1,Pass,0.0222468576534276,84.1038704038564,999,1,ok
S06-A38,mock_high,Unknown,1,IL18,Test,16.1079520790661,-1,1,Pass,0.0222468576534276,81.5640634252078,999,1,ok
S06-A39,mock_high,Unknown,1,GCLC,Test,14.6128928407396,-1,1,Pass,0.0222468576534276,83.9159699416046,999,1,ok
S06-A40,mock_high,Unknown,1,MAPK1,Test,12.8342139168607,-1,1,Pass,0.0222468576534276,85.7750026474793,999,1,ok
S06-A41,mock_high,Unknown,1,MYC,Test,9.99472781053565,-1,1,Pass,0.0222468576534276,80.3029991623839,999,1,ok
S06-A42,mock_high,Unknown,1,OCT4,Test,21.8197069014105,-1,0,Fail,0.0222468576534276,999,999,0,miss
S06-A43,mock_high,Unknown,1,WNK1,Test,14.2045246069319,-1,1,Pass,0.0222468576534276,84.12709181548,999,1,ok
S06-A44,mock_high,Unknown,1,IL18,Test,15.7301528361174,-1,1,Pass,0.0222468576534276,81.4265467231645,999,1,ok
S06-A45,mock_high,Unknown,1,GCLC,Test,14.6410953614252,-1,1,Pass,0.0222468576534276,83.9254983870491,999,1,ok
S06-A46,mock_high,Unknown,1,MAPK1,Test,12.7793452158846,-1,1,Pass,0.0222468576534276,85.7753228398599,999,1,ok
S06-A47,mock_high,Unknown,1,MYC,Test,9.97355034506746,-1,1,Pass,0.0222468576534276,80.299353528792,999,1,ok
S06-A48,mock_high,Unknown,1,OCT4,Test,21.9391925923942,-1,0,Fail,0.0222468576534276,999,999,0,miss
S06-A54,mock_high,Unknown,1,OSCAR,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,miss
S06-A53,mock_high,Unknown,1,MPO,Test,7.43860080179517,-1,1,Pass,0.0222468576534276,88.6536758856955,999,1,ok
S06-A52,mock_high,Unknown,1,EZH1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A51,mock_high,Unknown,1,SLC7A7,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A50,mock_high,Unknown,1,BRD4,Test,12.8875983399814,-1,1,Pass,0.0222468576534276,85.4483463559533,999,1,ok
S06-A49,mock_high,Unknown,1,DVL2,Test,16.500066967574,-1,1,Pass,0.0222468576534276,87.1935678101755,999,1,ok
S06-A60,mock_high,Unknown,1,OSCAR,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,miss
S06-A59,mock_high,Unknown,1,MPO,Test,7.28510309967481,-1,1,Pass,0.0222468576534276,88.6538009593628,999,1,ok
S06-A58,mock_high,Unknown,1,EZH1,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A57,mock_high,Unknown,1,SLC7A7,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A56,mock_high,Unknown,1,BRD4,Test,12.9192320233431,-1,1,Pass,0.0222468576534276,85.4424362542817,999,1,ok
S06-A55,mock_high,Unknown,1,DVL2,Test,16.5778238686144,-1,1,Pass,0.0222468576534276,87.2612445099698,999,1,ok
S06-A66,mock_high,Unknown,1,MT2A,Test,15.2108108242565,-1,1,Pass,0.0222468576534276,89.946251936975,999,1,ok
S06-A65,mock_high,Unknown,1,NOTCH1,Test,17.7989648793421,-1,1,Pass,0.0222468576534276,90.0884643291331,999,1,ok
S06-A64,mock_high,Unknown,1,PTK2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A63,mock_high,Unknown,1,KRAS,Test,14.8498250052368,-1,1,Pass,0.0222468576534276,75.7227641048472,999,1,ok
S06-A62,mock_high,Unknown,1,KMT2A,Test,17.8869690629263,-1,1,Pass,0.0222468576534276,82.1387974605072,999,1,ok
S06-A61,mock_high,Unknown,1,DAAM1,Test,15.84548779011,-1,1,Pass,0.0222468576534276,84.9251142846161,999,1,ok
S06-A72,mock_high,Unknown,1,MT2A,Test,15.2596832803316,-1,1,Pass,0.0222468576534276,89.9989947813849,999,1,ok
S06-A71,mock_high,Unknown,1,NOTCH1,Test,18.0068087562226,-1,1,Pass,0.0222468576534276,90.041668571131,999,1,ok
S06-A70,mock_high,Unknown,1,PTK2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A69,mock_high,Unknown,1,KRAS,Test,14.9808218569592,-1,1,Pass,0.0222468576534276,75.7697645038064,999,1,ok
S06-A68,mock_high,Unknown,1,KMT2A,Test,17.9678830263172,-1,1,Pass,0.0222468576534276,82.1368502706134,999,1,ok
S06-A67,mock_high,Unknown,1,DAAM1,Test,15.912147563187,-1,1,Pass,0.0222468576534276,84.9170082499491,999,1,ok
S06-A78,mock_high,Unknown,1,CTNNB,Test,14.3347309009436,-1,1,Pass,0.0222468576534276,84.0266003004852,999,1,ok
S06-A77,mock_high,Unknown,1,PTGS2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
S06-A76,mock_high,Unknown,1,PPIA,Test,8.80687204834384,-1,1,Pass,0.0222468576534276,84.8111646432384,999,1,ok
S06-A75,mock_high,Unknown,1,RELA,Test,13.6406636271856,-1,1,Pass,0.0222468576534276,86.1662654855457,999,1,ok
S06-A74,mock_high,Unknown,1,SMYD3,Test,14.9961631287714,-1,1,Pass,0.0222468576534276,82.1173820794134,999,1,double
S06-A73,mock_high,Unknown,1,UGCG,Test,20.2642023319955,-1,1,Pass,0.0222468576534276,83.0456392910518,999,1,ok
S06-A84,mock_high,Unknown,1,CTNNB,Test,14.2935455431408,-1,1,Pass,0.0222468576534276,84.0615621050483,999,1,ok
S06-A83,mock_high,Unknown,1,PTGS2,Test,999,-1,0,Fail,0.0222468576534276,999,999,0,no peak
