Chip Run Info,D:\Edoardo\1361334033 10 nM vinc untreated 48h\ChipRun.bml,1361334033,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/5/2016 9:08:11 AM,00:50:59,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S19-A50,untreated_high,Unknown,1,BRD4,Test,10.7597068506557,1,Pass,0.0233967033971152,85.047671396473,999,1,
S19-A49,untreated_high,Unknown,1,DVL2,Test,16.7660832174151,1,Pass,0.0233967033971152,86.8206569446854,999,1,
S19-A60,untreated_high,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A59,untreated_high,Unknown,1,MPO,Test,7.22246793085495,1,Pass,0.0233967033971152,88.2051863438481,999,1,
S19-A58,untreated_high,Unknown,1,EZH1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A57,untreated_high,Unknown,1,SLC7A7,Test,18.752439760113,1,Pass,0.0233967033971152,81.1557649552225,999,1,
S19-A56,untreated_high,Unknown,1,BRD4,Test,10.6675689119098,1,Pass,0.0233967033971152,85.0236447226644,999,1,
S19-A55,untreated_high,Unknown,1,DVL2,Test,16.7669431751859,1,Pass,0.0233967033971152,86.7380050680817,999,1,
S19-A66,untreated_high,Unknown,1,MT2A,Test,12.5096026714157,1,Pass,0.0233967033971152,89.6798120998058,999,1,
S19-A65,untreated_high,Unknown,1,NOTCH1,Test,17.9311860756296,1,Pass,0.0233967033971152,89.779756547436,999,1,
S19-A64,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A63,untreated_high,Unknown,1,KRAS,Test,13.8084417594798,1,Pass,0.0233967033971152,75.4503395163377,999,1,
S19-A62,untreated_high,Unknown,1,KMT2A,Test,16.196023836726,1,Pass,0.0233967033971152,81.6215138175324,999,1,
S19-A61,untreated_high,Unknown,1,DAAM1,Test,999,0,Fail,0.0233967033971152,68.724429493456,999,1,
S19-A72,untreated_high,Unknown,1,MT2A,Test,12.50597671664,1,Pass,0.0233967033971152,89.6916527013529,999,1,
S19-A71,untreated_high,Unknown,1,NOTCH1,Test,18.2774390285972,1,Pass,0.0233967033971152,89.8896219046926,999,1,
S19-A70,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A69,untreated_high,Unknown,1,KRAS,Test,13.6532891771834,1,Pass,0.0233967033971152,75.4720998855649,999,1,
S19-A68,untreated_high,Unknown,1,KMT2A,Test,16.6382830508728,1,Pass,0.0233967033971152,81.6927370304191,999,1,
S19-A67,untreated_high,Unknown,1,DAAM1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A78,untreated_high,Unknown,1,CTNNB,Test,13.927363563248,1,Pass,0.0233967033971152,83.2670109465754,999,1,
S19-A77,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A76,untreated_high,Unknown,1,PPIA,Test,8.61662196407312,1,Pass,0.0233967033971152,84.1816893151534,999,1,
S19-A75,untreated_high,Unknown,1,RELA,Test,14.3222753063338,1,Pass,0.0233967033971152,85.6451123558226,999,1,
S19-A74,untreated_high,Unknown,1,SMYD3,Test,15.2910350933549,1,Pass,0.0233967033971152,81.9704665428452,999,1,
S19-A73,untreated_high,Unknown,1,UGCG,Test,15.7405227313822,1,Pass,0.0233967033971152,82.3260320158981,999,1,
S19-A84,untreated_high,Unknown,1,CTNNB,Test,13.8894735295089,1,Pass,0.0233967033971152,83.3348254831419,999,1,
S19-A83,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A82,untreated_high,Unknown,1,PPIA,Test,8.65527408775336,1,Pass,0.0233967033971152,84.2173465965594,999,1,
S19-A81,untreated_high,Unknown,1,RELA,Test,14.1356967150378,1,Pass,0.0233967033971152,85.7047456856836,999,1,
S19-A80,untreated_high,Unknown,1,SMYD3,Test,15.347121581067,1,Pass,0.0233967033971152,81.975667497338,999,1,
S19-A79,untreated_high,Unknown,1,UGCG,Test,15.8740413427441,1,Pass,0.0233967033971152,82.3876228633273,999,1,
S19-A90,untreated_high,Unknown,1,LRP6,Test,23.1349334768761,1,Pass,0.0233967033971152,86.7896250460639,999,1,
S19-A89,untreated_high,Unknown,1,Tcf7l2,Test,15.5965937170576,1,Pass,0.0233967033971152,82.5781186666873,999,1,
S19-A88,untreated_high,Unknown,1,B2M,Test,9.82003080744506,1,Pass,0.0233967033971152,85.7216070489032,999,1,
S19-A87,untreated_high,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A86,untreated_high,Unknown,1,SLCO3A1,Test,17.0005973601913,1,Pass,0.0233967033971152,83.9872677770296,999,1,
S19-A85,untreated_high,Unknown,1,SP1,Test,14.5750635716233,1,Pass,0.0233967033971152,86.829924471014,999,1,
S19-A96,untreated_high,Unknown,1,LRP6,Test,22.6082256744088,1,Pass,0.0233967033971152,86.9405751421824,999,1,
S19-A95,untreated_high,Unknown,1,Tcf7l2,Test,15.4103273911878,1,Pass,0.0233967033971152,82.7955109203701,999,1,
S19-A94,untreated_high,Unknown,1,B2M,Test,9.8868297002996,1,Pass,0.0233967033971152,85.9509727904087,999,1,
S19-A93,untreated_high,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S19-A92,untreated_high,Unknown,1,SLCO3A1,Test,16.8836074273724,1,Pass,0.0233967033971152,84.3740669155093,999,1,
S19-A91,untreated_high,Unknown,1,SP1,Test,14.3725204352329,1,Pass,0.0233967033971152,87.2407907228189,999,1,
S72-A01,untreated_low,Unknown,1,ACTB,Test,11.9235506103251,0.981910501088388,Pass,0.0233967033971152,90.641955267794,999,1,
S72-A02,untreated_low,Unknown,1,SP3,Test,13.8724244294189,1,Pass,0.0233967033971152,81.4185157543209,999,1,
S72-A03,untreated_low,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A04,untreated_low,Unknown,1,RSU1,Test,13.5198321945797,1,Pass,0.0233967033971152,82.8453463503385,999,1,
S72-A05,untreated_low,Unknown,1,IL8,Test,16.2374607735881,1,Pass,0.0233967033971152,82.6670154120443,999,1,
S72-A06,untreated_low,Unknown,1,FZD7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A07,untreated_low,Unknown,1,ACTB,Test,11.9433712367545,0.987515388627012,Pass,0.0233967033971152,90.046162510944,999,1,
S72-A08,untreated_low,Unknown,1,SP3,Test,13.9068162019981,1,Pass,0.0233967033971152,81.0791205929166,999,1,
S72-A09,untreated_low,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A10,untreated_low,Unknown,1,RSU1,Test,13.5407023006417,1,Pass,0.0233967033971152,82.6442135024632,999,1,
S72-A11,untreated_low,Unknown,1,IL8,Test,16.168706382268,1,Pass,0.0233967033971152,82.3354320226911,999,1,
S72-A12,untreated_low,Unknown,1,FZD7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A13,untreated_low,Unknown,1,ABCC4,Test,14.0232885480609,1,Pass,0.0233967033971152,80.6977020632558,999,1,
S72-A14,untreated_low,Unknown,1,YBX1,Test,7.3384611978851,1,Pass,0.0233967033971152,82.0491579128355,999,1,
S72-A15,untreated_low,Unknown,1,PRKCB,Test,14.9489097685769,1,Pass,0.0233967033971152,86.71273065706,999,1,
S72-A16,untreated_low,Unknown,1,DDIT4,Test,14.2021797949155,1,Pass,0.0233967033971152,87.7945036571525,999,1,
S72-A17,untreated_low,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A18,untreated_low,Unknown,1,LRP5,Test,14.653546765307,1,Pass,0.0233967033971152,84.051784284626,999,1,
S72-A19,untreated_low,Unknown,1,ABCC4,Test,14.0793032946891,1,Pass,0.0233967033971152,80.6041314957114,999,1,
S72-A20,untreated_low,Unknown,1,YBX1,Test,7.26190619075355,1,Pass,0.0233967033971152,81.9520746321339,999,1,
S72-A21,untreated_low,Unknown,1,PRKCB,Test,15.2451645909451,1,Pass,0.0233967033971152,86.587825850511,999,1,
S72-A22,untreated_low,Unknown,1,DDIT4,Test,14.2451629878851,1,Pass,0.0233967033971152,87.6963850330841,999,1,
S72-A23,untreated_low,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A24,untreated_low,Unknown,1,LRP5,Test,14.8549118818402,1,Pass,0.0233967033971152,84.0015866991415,999,1,
S72-A25,untreated_low,Unknown,1,ABCC5,Test,15.8793467960114,1,Pass,0.0233967033971152,84.0498526793534,999,1,
S72-A26,untreated_low,Unknown,1,NFYA,Test,18.1230015189635,1,Pass,0.0233967033971152,85.3476308653411,999,1,
S72-A27,untreated_low,Unknown,1,CSK,Test,12.3235763266796,1,Pass,0.0233967033971152,85.8004025335534,999,1,
S72-A28,untreated_low,Unknown,1,SCML2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A29,untreated_low,Unknown,1,GAPDH,Test,8.10868878036839,1,Pass,0.0233967033971152,87.4155241369291,999,1,
S72-A30,untreated_low,Unknown,1,APCDD1,Test,27.802792394585,0,Fail,0.0233967033971152,999,999,0,
S72-A31,untreated_low,Unknown,1,ABCC5,Test,15.7641867623965,1,Pass,0.0233967033971152,83.9357160155162,999,1,
S72-A32,untreated_low,Unknown,1,NFYA,Test,17.0961087965236,1,Pass,0.0233967033971152,85.3292114042474,999,1,
S72-A33,untreated_low,Unknown,1,CSK,Test,12.3129655170795,1,Pass,0.0233967033971152,85.746629083261,999,1,
S72-A34,untreated_low,Unknown,1,SCML2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A35,untreated_low,Unknown,1,GAPDH,Test,8.05962120970029,1,Pass,0.0233967033971152,87.3871481838535,999,1,
S72-A36,untreated_low,Unknown,1,APCDD1,Test,26.2924714428088,0,Fail,0.0233967033971152,999,999,0,
S72-A37,untreated_low,Unknown,1,WNK1,Test,14.3515870680672,1,Pass,0.0233967033971152,83.6123508508357,999,1,
S72-A38,untreated_low,Unknown,1,IL18,Test,16.4873955824386,1,Pass,0.0233967033971152,80.8978829706307,999,1,
S72-A39,untreated_low,Unknown,1,GCLC,Test,15.8256462952316,1,Pass,0.0233967033971152,83.3325346491958,999,1,
S72-A40,untreated_low,Unknown,1,MAPK1,Test,13.8086841409577,1,Pass,0.0233967033971152,85.1200457080527,999,1,
S72-A41,untreated_low,Unknown,1,MYC,Test,10.3598788070729,1,Pass,0.0233967033971152,87.0111921859496,999,1,
S72-A42,untreated_low,Unknown,1,OCT4,Test,23.0369350158805,0.655228034502003,Pass,0.0233967033971152,92.195232399864,999,1,
S72-A43,untreated_low,Unknown,1,WNK1,Test,14.5686191838487,1,Pass,0.0233967033971152,83.6140483921852,999,1,
S72-A44,untreated_low,Unknown,1,IL18,Test,16.531543963559,1,Pass,0.0233967033971152,80.8835627353195,999,1,
S72-A45,untreated_low,Unknown,1,GCLC,Test,16.1344269900245,1,Pass,0.0233967033971152,83.3436574350747,999,1,
S72-A46,untreated_low,Unknown,1,MAPK1,Test,14.0622999198639,1,Pass,0.0233967033971152,85.1096767197222,999,1,
S72-A47,untreated_low,Unknown,1,MYC,Test,10.3137884575738,1,Pass,0.0233967033971152,86.9819657861487,999,1,
S72-A48,untreated_low,Unknown,1,OCT4,Test,25.8531359010842,0,Fail,0.0233967033971152,999,999,0,
S72-A54,untreated_low,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A53,untreated_low,Unknown,1,MPO,Test,7.99471503805905,1,Pass,0.0233967033971152,88.0855082978473,999,1,
S72-A52,untreated_low,Unknown,1,EZH1,Test,15.9929359694551,1,Pass,0.0233967033971152,82.3697897054555,999,1,
S72-A51,untreated_low,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A50,untreated_low,Unknown,1,BRD4,Test,12.0944769646533,1,Pass,0.0233967033971152,84.8994655089932,999,1,
S72-A49,untreated_low,Unknown,1,DVL2,Test,16.6013296790613,1,Pass,0.0233967033971152,86.6918996366805,999,1,
S72-A60,untreated_low,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A59,untreated_low,Unknown,1,MPO,Test,7.92000579220275,1,Pass,0.0233967033971152,88.0836745661899,999,1,
S72-A58,untreated_low,Unknown,1,EZH1,Test,16.0743951324757,1,Pass,0.0233967033971152,82.3706023778601,999,1,
S72-A57,untreated_low,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A56,untreated_low,Unknown,1,BRD4,Test,12.1309158780244,1,Pass,0.0233967033971152,84.9010944834073,999,1,
S72-A55,untreated_low,Unknown,1,DVL2,Test,16.8767974432181,1,Pass,0.0233967033971152,86.7271373709522,999,1,
S72-A66,untreated_low,Unknown,1,MT2A,Test,12.7767269838306,1,Pass,0.0233967033971152,89.3870988522784,999,1,
S72-A65,untreated_low,Unknown,1,NOTCH1,Test,18.1782464496826,1,Pass,0.0233967033971152,89.6086042708136,999,1,
S72-A64,untreated_low,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A63,untreated_low,Unknown,1,KRAS,Test,13.3228152079022,1,Pass,0.0233967033971152,75.2850541735035,999,1,
S72-A62,untreated_low,Unknown,1,KMT2A,Test,15.7978866501893,1,Pass,0.0233967033971152,81.3939969063211,999,1,
S72-A61,untreated_low,Unknown,1,DAAM1,Test,28.2305688400911,0,Fail,0.0233967033971152,68.5925990863809,999,1,
S72-A72,untreated_low,Unknown,1,MT2A,Test,12.8852077720021,1,Pass,0.0233967033971152,89.3850633949826,999,1,
S72-A71,untreated_low,Unknown,1,NOTCH1,Test,18.6820313442273,1,Pass,0.0233967033971152,89.7021213884101,999,1,
S72-A70,untreated_low,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A69,untreated_low,Unknown,1,KRAS,Test,13.4444572850343,1,Pass,0.0233967033971152,75.2712275716148,999,1,
S72-A68,untreated_low,Unknown,1,KMT2A,Test,15.8981034398828,1,Pass,0.0233967033971152,81.4168649904917,999,1,
S72-A67,untreated_low,Unknown,1,DAAM1,Test,28.7848638890453,0,Fail,0.0233967033971152,68.5847076702124,999,1,
S72-A78,untreated_low,Unknown,1,CTNNB,Test,14.2374154134923,1,Pass,0.0233967033971152,83.2757655113983,999,1,
S72-A77,untreated_low,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A76,untreated_low,Unknown,1,PPIA,Test,9.63371486343236,1,Pass,0.0233967033971152,84.0430132459339,999,1,
S72-A75,untreated_low,Unknown,1,RELA,Test,13.3963807136786,1,Pass,0.0233967033971152,85.4382728276626,999,1,
S72-A74,untreated_low,Unknown,1,SMYD3,Test,16.2987034348745,1,Pass,0.0233967033971152,81.8265239449681,999,1,
S72-A73,untreated_low,Unknown,1,UGCG,Test,16.7291245335376,1,Pass,0.0233967033971152,82.1483784669502,999,1,
S72-A84,untreated_low,Unknown,1,CTNNB,Test,14.1727499235293,1,Pass,0.0233967033971152,83.31844532347,999,1,
S72-A83,untreated_low,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A82,untreated_low,Unknown,1,PPIA,Test,9.68007268439205,1,Pass,0.0233967033971152,84.0829614291862,999,1,
S72-A81,untreated_low,Unknown,1,RELA,Test,13.5764533189136,1,Pass,0.0233967033971152,85.5907723084171,999,1,
S72-A80,untreated_low,Unknown,1,SMYD3,Test,16.2797502708918,1,Pass,0.0233967033971152,81.8151789073719,999,1,
S72-A79,untreated_low,Unknown,1,UGCG,Test,16.6178262928101,1,Pass,0.0233967033971152,82.1864145937635,999,1,
S72-A90,untreated_low,Unknown,1,LRP6,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A89,untreated_low,Unknown,1,Tcf7l2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A88,untreated_low,Unknown,1,B2M,Test,10.5183062296879,1,Pass,0.0233967033971152,85.603926739708,999,1,
S72-A87,untreated_low,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A86,untreated_low,Unknown,1,SLCO3A1,Test,15.1175214475605,1,Pass,0.0233967033971152,83.8982690733214,999,1,
S72-A85,untreated_low,Unknown,1,SP1,Test,14.7273413087984,1,Pass,0.0233967033971152,86.7247089279784,999,1,
S72-A96,untreated_low,Unknown,1,LRP6,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A95,untreated_low,Unknown,1,Tcf7l2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A94,untreated_low,Unknown,1,B2M,Test,10.5332562142098,1,Pass,0.0233967033971152,85.840918028123,999,1,
S72-A93,untreated_low,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S72-A92,untreated_low,Unknown,1,SLCO3A1,Test,14.8322125649837,1,Pass,0.0233967033971152,84.2157356039847,999,1,
S72-A91,untreated_low,Unknown,1,SP1,Test,14.6486306988982,1,Pass,0.0233967033971152,87.1413784098519,999,1,
S30-A01,untreated_high,Unknown,1,ACTB,Test,12.819013977747,0.98272519901436,Pass,0.0233967033971152,90.6901490956499,999,1,
S30-A02,untreated_high,Unknown,1,SP3,Test,13.0995890660239,1,Pass,0.0233967033971152,81.6218733653195,999,1,
S30-A03,untreated_high,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A04,untreated_high,Unknown,1,RSU1,Test,13.5645962878338,1,Pass,0.0233967033971152,82.9351224140142,999,1,
S30-A05,untreated_high,Unknown,1,IL8,Test,17.9244732525801,1,Pass,0.0233967033971152,82.7736805816487,999,1,
S30-A06,untreated_high,Unknown,1,FZD7,Test,16.3538510558325,1,Pass,0.0233967033971152,81.0114506951596,999,1,
S30-A07,untreated_high,Unknown,1,ACTB,Test,12.7476366262002,0.98626344993158,Pass,0.0233967033971152,90.1029488712971,999,1,
S30-A08,untreated_high,Unknown,1,SP3,Test,13.0459494790223,1,Pass,0.0233967033971152,81.1739181042498,999,1,
S30-A09,untreated_high,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A10,untreated_high,Unknown,1,RSU1,Test,13.6194225719746,1,Pass,0.0233967033971152,82.7194931779088,999,1,
S30-A11,untreated_high,Unknown,1,IL8,Test,18.0756632841636,1,Pass,0.0233967033971152,82.4574981812022,999,1,
S30-A12,untreated_high,Unknown,1,FZD7,Test,16.4304949968564,1,Pass,0.0233967033971152,80.8444745642589,999,1,
S30-A13,untreated_high,Unknown,1,ABCC4,Test,10.9226507511816,1,Pass,0.0233967033971152,80.8011768020549,999,1,
S30-A14,untreated_high,Unknown,1,YBX1,Test,6.92918682210274,1,Pass,0.0233967033971152,82.118103847805,999,1,
S30-A15,untreated_high,Unknown,1,PRKCB,Test,16.6723118564346,1,Pass,0.0233967033971152,86.6712994809772,999,1,
S30-A16,untreated_high,Unknown,1,DDIT4,Test,15.2484866003312,1,Pass,0.0233967033971152,87.8681343304953,999,1,
S30-A17,untreated_high,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A18,untreated_high,Unknown,1,LRP5,Test,15.1065405044661,1,Pass,0.0233967033971152,84.1464677620211,999,1,
S30-A19,untreated_high,Unknown,1,ABCC4,Test,10.7685517604045,1,Pass,0.0233967033971152,80.717044826894,999,1,
S30-A20,untreated_high,Unknown,1,YBX1,Test,6.87445961968437,1,Pass,0.0233967033971152,82.0182536460783,999,1,
S30-A21,untreated_high,Unknown,1,PRKCB,Test,16.371941139626,1,Pass,0.0233967033971152,86.5782977919511,999,1,
S30-A22,untreated_high,Unknown,1,DDIT4,Test,15.2400025661465,1,Pass,0.0233967033971152,87.7364292009293,999,1,
S30-A23,untreated_high,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A24,untreated_high,Unknown,1,LRP5,Test,15.0300424701457,1,Pass,0.0233967033971152,84.0643922592428,999,1,
S30-A25,untreated_high,Unknown,1,ABCC5,Test,15.6646079245654,1,Pass,0.0233967033971152,84.2363600022946,999,1,
S30-A26,untreated_high,Unknown,1,NFYA,Test,17.1622169764843,1,Pass,0.0233967033971152,85.4359858922039,999,1,
S30-A27,untreated_high,Unknown,1,CSK,Test,12.5930699680938,1,Pass,0.0233967033971152,85.8569381925152,999,1,
S30-A28,untreated_high,Unknown,1,SCML2,Test,17.1244275684411,1,Pass,0.0233967033971152,81.7551895887358,999,1,
S30-A29,untreated_high,Unknown,1,GAPDH,Test,7.76651889536756,1,Pass,0.0233967033971152,87.6039713151264,999,1,
S30-A30,untreated_high,Unknown,1,APCDD1,Test,28.5354184145831,0,Fail,0.0233967033971152,999,999,0,
S30-A31,untreated_high,Unknown,1,ABCC5,Test,15.2595427882519,1,Pass,0.0233967033971152,84.2329579525493,999,1,
S30-A32,untreated_high,Unknown,1,NFYA,Test,16.9660274683112,1,Pass,0.0233967033971152,85.3896861914785,999,1,
S30-A33,untreated_high,Unknown,1,CSK,Test,12.5635853245593,1,Pass,0.0233967033971152,85.8361452531987,999,1,
S30-A34,untreated_high,Unknown,1,SCML2,Test,17.6702829376919,1,Pass,0.0233967033971152,81.6968667962402,999,1,
S30-A35,untreated_high,Unknown,1,GAPDH,Test,7.71595171692107,1,Pass,0.0233967033971152,87.4590159255186,999,1,
S30-A36,untreated_high,Unknown,1,APCDD1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A37,untreated_high,Unknown,1,WNK1,Test,13.9716571942407,1,Pass,0.0233967033971152,83.7390731626845,999,1,
S30-A38,untreated_high,Unknown,1,IL18,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A39,untreated_high,Unknown,1,GCLC,Test,15.5805179066555,1,Pass,0.0233967033971152,83.2989463454421,999,1,
S30-A40,untreated_high,Unknown,1,MAPK1,Test,12.2433161863108,1,Pass,0.0233967033971152,85.1623078419208,999,1,
S30-A41,untreated_high,Unknown,1,MYC,Test,8.45581193947614,1,Pass,0.0233967033971152,79.9875574736208,999,1,
S30-A42,untreated_high,Unknown,1,OCT4,Test,27.4343513096957,0,Fail,0.0233967033971152,999,999,0,
S30-A43,untreated_high,Unknown,1,WNK1,Test,13.7955607105668,1,Pass,0.0233967033971152,83.7310979907786,999,1,
S30-A44,untreated_high,Unknown,1,IL18,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A45,untreated_high,Unknown,1,GCLC,Test,15.8719818964279,1,Pass,0.0233967033971152,83.3053501204255,999,1,
S30-A46,untreated_high,Unknown,1,MAPK1,Test,12.2525029191931,1,Pass,0.0233967033971152,85.1882928667452,999,1,
S30-A47,untreated_high,Unknown,1,MYC,Test,8.2831399169757,1,Pass,0.0233967033971152,80.0052240936019,999,1,
S30-A48,untreated_high,Unknown,1,OCT4,Test,28.9433624782008,0,Fail,0.0233967033971152,999,999,0,
S30-A54,untreated_high,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A53,untreated_high,Unknown,1,MPO,Test,6.7081702925884,1,Pass,0.0233967033971152,88.1791890897393,999,1,
S30-A52,untreated_high,Unknown,1,EZH1,Test,16.2408454056587,1,Pass,0.0233967033971152,82.4029233305675,999,1,
S30-A51,untreated_high,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A50,untreated_high,Unknown,1,BRD4,Test,11.3894433044863,1,Pass,0.0233967033971152,84.9875752696672,999,1,
S30-A49,untreated_high,Unknown,1,DVL2,Test,14.8091466781852,1,Pass,0.0233967033971152,86.6534769843064,999,1,
S30-A60,untreated_high,Unknown,1,OSCAR,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A59,untreated_high,Unknown,1,MPO,Test,6.60333843602608,1,Pass,0.0233967033971152,88.1871249703181,999,1,
S30-A58,untreated_high,Unknown,1,EZH1,Test,16.5023641919732,1,Pass,0.0233967033971152,82.4180803151934,999,1,
S30-A57,untreated_high,Unknown,1,SLC7A7,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A56,untreated_high,Unknown,1,BRD4,Test,11.440145708103,1,Pass,0.0233967033971152,84.9854700046818,999,1,
S30-A55,untreated_high,Unknown,1,DVL2,Test,14.7354883261459,1,Pass,0.0233967033971152,86.7232746838816,999,1,
S30-A66,untreated_high,Unknown,1,MT2A,Test,13.6625157442821,1,Pass,0.0233967033971152,89.6529633577171,999,1,
S30-A65,untreated_high,Unknown,1,NOTCH1,Test,18.3910379203607,1,Pass,0.0233967033971152,89.8531372115807,999,1,
S30-A64,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A63,untreated_high,Unknown,1,KRAS,Test,12.4841798722222,1,Pass,0.0233967033971152,75.3943556986074,999,1,
S30-A62,untreated_high,Unknown,1,KMT2A,Test,13.8205119987715,1,Pass,0.0233967033971152,81.595655947676,999,1,
S30-A61,untreated_high,Unknown,1,DAAM1,Test,20.3499794440598,1,Pass,0.0233967033971152,84.3809540616058,999,1,
S30-A72,untreated_high,Unknown,1,MT2A,Test,13.6844158219603,1,Pass,0.0233967033971152,89.6529369675801,999,1,
S30-A71,untreated_high,Unknown,1,NOTCH1,Test,18.6789461922125,1,Pass,0.0233967033971152,89.8067014780286,999,1,
S30-A70,untreated_high,Unknown,1,PTK2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A69,untreated_high,Unknown,1,KRAS,Test,12.52567327679,1,Pass,0.0233967033971152,75.4039720111561,999,1,
S30-A68,untreated_high,Unknown,1,KMT2A,Test,13.7930953440411,1,Pass,0.0233967033971152,81.6177613171078,999,1,
S30-A67,untreated_high,Unknown,1,DAAM1,Test,20.9072870925124,1,Pass,0.0233967033971152,84.2835027947328,999,1,
S30-A78,untreated_high,Unknown,1,CTNNB,Test,13.6613066870785,1,Pass,0.0233967033971152,83.290849969825,999,1,
S30-A77,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A76,untreated_high,Unknown,1,PPIA,Test,8.6174345274738,1,Pass,0.0233967033971152,84.1403784125499,999,1,
S30-A75,untreated_high,Unknown,1,RELA,Test,13.1490425750883,1,Pass,0.0233967033971152,85.4305986709792,999,1,
S30-A74,untreated_high,Unknown,1,SMYD3,Test,15.1724408917591,1,Pass,0.0233967033971152,81.8963858308198,999,1,
S30-A73,untreated_high,Unknown,1,UGCG,Test,14.0820998999425,1,Pass,0.0233967033971152,82.2970270573132,999,1,
S30-A84,untreated_high,Unknown,1,CTNNB,Test,13.7227583940338,1,Pass,0.0233967033971152,83.31936474192,999,1,
S30-A83,untreated_high,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S30-A82,untreated_high,Unknown,1,PPIA,Test,8.73636158353697,1,Pass,0.0233967033971152,84.1810954768885,999,1,
S30-A81,untreated_high,Unknown,1,RELA,Test,13.0459612466083,1,Pass,0.0233967033971152,85.6693811881636,999,1,
S30-A80,untreated_high,Unknown,1,SMYD3,Test,15.3941166551548,1,Pass,0.0233967033971152,81.9285523393093,999,1,
