Chip Run Info,D:\Edoardo\1361334033 10 nM vinc untreated 48h\ChipRun.bml,1361334033,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/5/2016 9:08:11 AM,00:50:59,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A67,untreated_low,Unknown,1,DAAM1,Test,16.885537554054,1,Pass,0.0233967033971152,85.0394379148291,999,1,
S96-A78,untreated_low,Unknown,1,CTNNB,Test,14.1383654546428,1,Pass,0.0233967033971152,84.0090608998058,999,1,
S96-A77,untreated_low,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A76,untreated_low,Unknown,1,PPIA,Test,9.60855873594656,1,Pass,0.0233967033971152,84.9079517755419,999,1,
S96-A75,untreated_low,Unknown,1,RELA,Test,13.3597618712623,1,Pass,0.0233967033971152,86.3041387888268,999,1,
S96-A74,untreated_low,Unknown,1,SMYD3,Test,16.6858741604243,1,Pass,0.0233967033971152,82.6090300850864,999,1,
S96-A73,untreated_low,Unknown,1,UGCG,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A84,untreated_low,Unknown,1,CTNNB,Test,13.9401116560134,1,Pass,0.0233967033971152,84.033991090082,999,1,
S96-A83,untreated_low,Unknown,1,PTGS2,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A82,untreated_low,Unknown,1,PPIA,Test,9.55394182090266,1,Pass,0.0233967033971152,84.9672906477741,999,1,
S96-A81,untreated_low,Unknown,1,RELA,Test,13.3237351156688,1,Pass,0.0233967033971152,86.3058099852052,999,1,
S96-A80,untreated_low,Unknown,1,SMYD3,Test,16.4108906517327,1,Pass,0.0233967033971152,82.7046693023161,999,1,
S96-A79,untreated_low,Unknown,1,UGCG,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A90,untreated_low,Unknown,1,LRP6,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A89,untreated_low,Unknown,1,Tcf7l2,Test,16.603549570218,0.975758928551691,Pass,0.0233967033971152,81.9318474175529,999,1,
S96-A88,untreated_low,Unknown,1,B2M,Test,10.5489309368127,1,Pass,0.0233967033971152,86.3810643979093,999,1,
S96-A87,untreated_low,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A86,untreated_low,Unknown,1,SLCO3A1,Test,18.7313454501355,1,Pass,0.0233967033971152,84.7555624163943,999,1,
S96-A85,untreated_low,Unknown,1,SP1,Test,15.6443444650372,1,Pass,0.0233967033971152,87.6835464009806,999,1,
S96-A96,untreated_low,Unknown,1,LRP6,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A95,untreated_low,Unknown,1,Tcf7l2,Test,16.9247423929589,0.986481434328775,Pass,0.0233967033971152,82.0966380134683,999,1,
S96-A94,untreated_low,Unknown,1,B2M,Test,10.5510935503946,1,Pass,0.0233967033971152,86.7610665339051,999,1,
S96-A93,untreated_low,Unknown,1,MAP3K14,Test,999,0,Fail,0.0233967033971152,999,999,0,
S96-A92,untreated_low,Unknown,1,SLCO3A1,Test,19.4474456823373,1,Pass,0.0233967033971152,84.9730404256363,999,1,
S96-A91,untreated_low,Unknown,1,SP1,Test,15.6821206501559,1,Pass,0.0233967033971152,88.2323067974714,999,1,
S06-A01,untreated_high,Unknown,1,ACTB,Test,12.6663823493235,0.959391218740323,Pass,0.0233967033971152,91.3253659985751,999,1,
S06-A02,untreated_high,Unknown,1,SP3,Test,12.3410389930517,1,Pass,0.0233967033971152,82.2242050177764,999,1,
S06-A03,untreated_high,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A04,untreated_high,Unknown,1,RSU1,Test,13.418796993689,1,Pass,0.0233967033971152,83.7296124700648,999,1,
S06-A05,untreated_high,Unknown,1,IL8,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A06,untreated_high,Unknown,1,FZD7,Test,19.7498585997674,1,Pass,0.0233967033971152,81.5733318275403,999,1,
S06-A07,untreated_high,Unknown,1,ACTB,Test,12.7123831586284,0.95834153752883,Pass,0.0233967033971152,90.7777676384394,999,1,
S06-A08,untreated_high,Unknown,1,SP3,Test,12.3181973195121,1,Pass,0.0233967033971152,81.8514740012602,999,1,
S06-A09,untreated_high,Unknown,1,SLCO2B1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A10,untreated_high,Unknown,1,RSU1,Test,13.3522954970018,1,Pass,0.0233967033971152,83.3103406666588,999,1,
S06-A11,untreated_high,Unknown,1,IL8,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A12,untreated_high,Unknown,1,FZD7,Test,19.4400465385185,1,Pass,0.0233967033971152,81.2394654525275,999,1,
S06-A13,untreated_high,Unknown,1,ABCC4,Test,11.5077715502669,1,Pass,0.0233967033971152,81.2610683858706,999,1,
S06-A14,untreated_high,Unknown,1,YBX1,Test,6.21841029799717,1,Pass,0.0233967033971152,82.846032686177,999,1,
S06-A15,untreated_high,Unknown,1,PRKCB,Test,14.0153202114623,1,Pass,0.0233967033971152,87.3065515923765,999,1,
S06-A16,untreated_high,Unknown,1,DDIT4,Test,15.8555975044396,1,Pass,0.0233967033971152,88.5552313265746,999,1,
S06-A17,untreated_high,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
S06-A18,untreated_high,Unknown,1,LRP5,Test,14.7578367450448,1,Pass,0.0233967033971152,84.7977927462157,999,1,
S06-A19,untreated_high,Unknown,1,ABCC4,Test,11.492405902469,1,Pass,0.0233967033971152,81.1838770144302,999,1,
S06-A20,untreated_high,Unknown,1,YBX1,Test,6.19520187977303,1,Pass,0.0233967033971152,82.7428218443221,999,1,
S06-A21,untreated_high,Unknown,1,PRKCB,Test,13.9942928424254,1,Pass,0.0233967033971152,87.233392258938,999,1,
S06-A22,untreated_high,Unknown,1,DDIT4,Test,15.7989419500736,1,Pass,0.0233967033971152,88.2692473167771,999,1,
S06-A23,untreated_high,Unknown,1,ABCB1,Test,999,0,Fail,0.0233967033971152,999,999,0,
