Chip Run Info,D:\Edoardo\1361334029 10 nM vinc treated 48h\ChipRun.bml,1361334029,96.96 (136x),GE 96x96 PCR+Melt v2,ROX,EvaGreen,8/4/2016 5:25:44 PM,00:51:52,BIOMARK088
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A72,treated_low,Unknown,1,MT2A,Test,12.994759574442,-1,1,Pass,0.0214762905126088,90.368418199293,999,1,
S96-A71,treated_low,Unknown,1,NOTCH1,Test,17.445487267134,-1,1,Pass,0.0214762905126088,90.5926594119635,999,1,
S96-A70,treated_low,Unknown,1,PTK2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A69,treated_low,Unknown,1,KRAS,Test,13.9499597344892,-1,1,Pass,0.0214762905126088,75.834830528599,999,1,
S96-A68,treated_low,Unknown,1,KMT2A,Test,15.5002183008612,-1,1,Pass,0.0214762905126088,82.3033438332887,999,1,
S96-A67,treated_low,Unknown,1,DAAM1,Test,999,-1,0,Fail,0.0214762905126088,69.0123079224197,999,1,
S96-A78,treated_low,Unknown,1,CTNNB,Test,13.1968580644494,-1,1,Pass,0.0214762905126088,84.1028120474933,999,1,
S96-A77,treated_low,Unknown,1,PTGS2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A76,treated_low,Unknown,1,PPIA,Test,8.44448777900036,-1,1,Pass,0.0214762905126088,84.9631342050407,999,1,
S96-A75,treated_low,Unknown,1,RELA,Test,13.5095671818176,-1,1,Pass,0.0214762905126088,86.3116444204436,999,1,
S96-A74,treated_low,Unknown,1,SMYD3,Test,14.904641813992,-1,1,Pass,0.0214762905126088,82.7297828529414,999,1,
S96-A73,treated_low,Unknown,1,UGCG,Test,16.1660427329095,-1,1,Pass,0.0214762905126088,83.0577519556671,999,1,
S96-A84,treated_low,Unknown,1,CTNNB,Test,13.1060474917477,-1,1,Pass,0.0214762905126088,84.1363649554589,999,1,
S96-A83,treated_low,Unknown,1,PTGS2,Test,999,-1,0,Fail,0.0214762905126088,999,999,0,
S96-A82,treated_low,Unknown,1,PPIA,Test,8.4324158045624,-1,1,Pass,0.0214762905126088,85.0039871617762,999,1,
S96-A81,treated_low,Unknown,1,RELA,Test,13.507623477193,-1,1,Pass,0.0214762905126088,86.3633089081461,999,1,
S96-A80,treated_low,Unknown,1,SMYD3,Test,15.0250418580926,-1,1,Pass,0.0214762905126088,82.7909082707995,999,1,
S96-A79,treated_low,Unknown,1,UGCG,Test,16.5709929656291,-1,1,Pass,0.0214762905126088,83.0587477532111,999,1,
